1.69897	0.175578	0.0410006	0.0287063	0.56791	0.4054	0.192727
 2.17609	0.20641	0.0329132	0.00985605	0.564626	0.351345	0.18374
 2.39794	0.209118	0.0150091	0.00771489	0.5056	0.258378	0.209447
 2.54407	0.207228	0.0228889	0.00805779	0.3685	0.270506	0.179244
 2.65321	0.146514	0.0443364	0.0139694	0.292765	0.212639	0.156915
 2.74036	0.140734	0.012854	0.0120744	0.290034	0.174005	0.115118
 2.81291	0.0999704	0.0140751	0.0123827	0.188418	0.123541	0.133311
 2.87506	0.0771758	0.0202442	0.0170832	0.174986	0.139961	0.10869
 2.92942	0.0616305	0.00769716	0.00762076	0.135299	0.113657	0.131304
 2.97772	0.0729931	0.0236919	0.00440067	0.152316	0.0627759	0.0974853
 3.30103	0.00549845	0.0174993	0.00527682	0.0345483	0.0223772	0.0570587
 
