-77.3480662983  0
-63.5336379965  2.05761316872
-59.6662346816  2.05761316872
-55.7897369438  10.2880658436
-52.7306004593  28.8065843621
-49.6237182548  90.5349794239
-44.8252734011  183.127572016
-40.6043243981  253.086419753
-36.3947434236  312.757201646
-33.2992292477  364.197530864
-31.3791692245  351.851851852
-29.9661232749  380.658436214
-27.2218811814  364.197530864
-24.9846531614  388.888888889
-22.5052861333  382.716049383
-19.1744537662  397.119341564
-15.9118295705  349.794238683
-13.3938112453  378.600823045
