Modulation Frequency (Hz)    Sync Coefficient 

50.000000    0.591640 
149.972006    0.594855 
248.115344    0.681672 
344.957572    0.729904 
445.733280    0.749196 
545.170604    0.745981 
642.818637    0.723473 
737.426065    0.733119 
838.249251    0.675241 
935.571952    0.633441 
1025.251806    0.569132 
1123.527981    0.533762 
1220.005834    0.463023 
1324.768284    0.398714 
1425.419192    0.372990 
1533.717177    0.324759 
1620.306937    0.270096 
1711.785334    0.212219 
1825.057896    0.205788 
1910.527621    0.186495 


PL Type; unit C89001-34; CF= 13.25 kHz; th= 32 dB SPL; SR = 57 sp/sec   
