Frequency Modulating (Hz)    Sync Coefficient 

49.557526    0.779221 
145.283491    0.792208 
241.133884    0.766234 
338.028168    0.665584 
437.425474    0.516234 
536.652230    0.425325 
635.389836    0.279221 
726.015757    0.314935 
844.447395    0.220779 
939.500956    0.120130 
1036.004083    0.185065 
1142.419764    0.120130 


type:Ct; unit: 89001-11;CF=7.6 kHz; Th=11 dB SPL; SR=0   
