Frequency Modulating (Hz)    Sync Coefficient 

50.446424    0.506494 
147.889397    0.467532 
245.459029    0.587662 
347.163492    0.548701 
429.717757    0.490260 
541.443724    0.454545 
629.766968    0.324675 
719.590897    0.282468 
829.567690    0.224026 
931.186864    0.279221 
1045.254035    0.198052 
1162.911001    0.142857 


type:Ct; unit: 89001-11;CF=7.6 kHz; Th=11 dB SPL; SR=0   
