Modulating Frequency (Hz)    Spikes/secicient 

50.873476    383.757962 
151.474714    372.611465 
250.300079    366.242038 
347.830568    378.980892 
443.269106    390.127389 
555.195290    414.012739 
660.176191    388.535032 
758.282660    391.719745 
856.014229    390.127389 
958.010211    358.280255 
1062.915129    378.980892 
1159.059233    372.611465 
1263.899881    350.318471 
1366.340717    331.210191 
1477.084526    326.433121 
1569.387821    318.471338 
1667.459166    308.917197 
1756.383840    294.585987 
1866.140602    299.363057 
1948.713003    278.662420 


Type: OL (PVCN);unit 88299-42;CF= 7.9 kHz;Th=8 dB SPL;SR= 1 spike/sec   
