Modulating Frequency (Hz)    Sync Coefficient 

50.425812    0.602564 
150.572809    0.711538 
254.733544    0.753205 
357.603697    0.794872 
457.305052    0.823718 
555.792420    0.823718 
658.522396    0.823718 
760.641105    0.794872 
863.819968    0.785256 
964.497028    0.727564 
1067.814103    0.698718 
1172.215647    0.544872 
1265.183685    0.522436 
1365.524988    0.483974 
1449.038510    0.394231 
1577.280350    0.189103 
1631.700621    0.147436 
1761.110262    0.240385 
1868.817204    0.125000 


Type: OL (PVCN);unit 88299-42;CF= 7.9 kHz;Th=8 dB SPL;SR= 1 spike/sec   
