Modulating Frequency (Hz)    Sync Coeffcient 

50.883941    0.427653 
149.499942    0.482315 
250.701968    0.421222 
352.831298    0.591640 
454.907166    0.681672 
556.475753    0.659164 
657.276705    0.627010 
756.195574    0.530547 
854.888126    0.437299 
949.672152    0.376206 
1054.965168    0.327974 
1141.527646    0.282958 
1257.029540    0.260450 
1348.305881    0.244373 
1446.210046    0.125402 


type: Cs;unit 88299-21;CF=24kHz;Th=10dB SPL;SR=5 spike/sec   
