Modulating Frequency (Hz)    Sync Coefficient 

50.425812    0.355769 
151.855124    0.439103 
252.582491    0.551282 
357.603697    0.711538 
457.305052    0.766026 
555.792420    0.737179 
658.522396    0.730769 
754.218003    0.717949 
863.819968    0.714744 
972.710918    0.701923 
1067.814103    0.673077 
1172.215647    0.647436 
1275.958295    0.580128 
1377.154128    0.544872 
1449.038510    0.416667 
1577.280350    0.375000 
1659.610875    0.333333 
1776.108302    0.243590 
1949.760672    0.179487 


Type: OL (PVCN);unit 88299-42;CF= 7.9 kHz;Th=8 dB SPL;SR= 1 spike/sec   
