Modulation Frequency (Hz)    Sync Coefficient 

50.000000    0.318328 
149.972006    0.344051 
248.115344    0.398714 
348.129653    0.459807 
441.671856    0.511254 
545.170604    0.501608 
642.818637    0.479100 
737.426065    0.356913 
838.249251    0.340836 
935.571952    0.289389 
1034.679580    0.260450 
1133.859460    0.109325 
1231.224482    0.128617 
1324.768284    0.209003 


PL Type; unit C89001-34; CF= 13.25 kHz; th= 32 dB SPL; SR = 57 sp/sec   
