Modulating Frequency (Hz)    Sync Coefficient 

50.000000    0.717042 
149.712516    0.765273 
248.519772    0.836013 
349.380706    0.823151 
448.276751    0.842444 
551.762646    0.826367 
651.504111    0.784566 
756.598609    0.752412 
849.925665    0.762058 
954.764689    0.749196 
1046.133294    0.633441 
1136.761762    0.498392 
1245.547034    0.360129 
1353.451084    0.254019 
1434.499056    0.173633 
1533.084923    0.157556 
1638.446097    0.125402 
1751.048213    0.016077 


Type:Oc;unit 89001-41;CF=41 kHz;Th=40 dB SPL;SR=0   
