Modulating Frequency (Hz)    Spikes/secicient 

50.434847    203.821656 
151.474714    208.598726 
248.142002    238.853503 
350.855631    259.554140 
447.124192    267.515924 
555.195290    256.369427 
654.484180    224.522293 
758.282660    186.305732 
856.014229    152.866242 
949.750288    130.573248 
1044.665327    103.503185 
1149.065873    100.318471 
1253.002590    84.394904 
1354.560186    73.248408 
1464.349166    62.101911 
1569.387821    71.656051 
1667.459166    73.248408 
1756.383840    58.917197 
1850.050817    68.471338 
1965.660847    73.248408 


Type: OL (PVCN);unit 88299-42;CF= 7.9 kHz;Th=8 dB SPL;SR= 1 spike/sec   
