Modulating Frequency (Hz)    Sync Coefficient 

50.440034    0.212219 
150.815643    0.247588 
252.908317    0.308682 
349.753230    0.327974 
450.938598    0.411576 
551.621110    0.411576 
657.276705    0.392283 
756.195574    0.344051 
862.411727    0.299035 
966.461235    0.321543 
1054.965168    0.279743 
1151.573871    0.250804 
1246.063330    0.202572 
1348.305881    0.115756 
1446.210046    0.147910 


Type:Cs;unit 88299-21;CF=24kHz;Th=10dB SPL;SR=5 sp/sec   
