Modulating Frequency (Hz)    Sync Coefficient 

50.440034    0.121795 
149.499942    0.137821 
255.134084    0.144231 
352.831298    0.442308 
450.938598    0.394231 
551.621110    0.227564 
663.061190    0.217949 
762.850612    0.250000 
854.888126    0.141026 
949.672152    0.137821 
1064.249583    0.166667 


Type: Cs; unit 88335-44; CF=18 kHz;Th=15 dB SPL;SR=0   
