Mod. frequency (Hz)    Spikes/sec 

50.435875    94.533762 
150.557788    112.861736 
251.250450    136.012862 
352.467771    153.376206 
449.435003    162.057878 
553.523627    178.456592 
647.124908    199.678457 
743.534223    211.254019 
846.923642    202.572347 
948.087552    178.456592 
1034.055797    159.163987 
1137.651008    136.977492 
1240.808000    111.897106 
1341.623205    97.427653 
1450.629609    95.498392 
1568.492744    95.498392 


type: OC;unit 88043-2;CF=5500Hz,TH=22dB SPL
