Modulating Frequency (Hz)     Sync Coefficient 

218.385196    0.177778 
372.692500    0.177778 
482.624109    0.139683 
570.047451    0.336508 
641.628252    0.390476 
715.897062    0.365079 
774.638171    0.349206 
838.199132    0.309524 
887.323737    0.280952 
939.327404    0.233333 
998.744889    0.219048 
1043.473467    0.182540 
1080.694355    0.147619 
1139.029814    0.133333 
1174.502324    0.087302 
1221.737874    0.114286 
1259.786139    0.079365 
1293.340657    0.066667 


Type:Ct;unit 88384-15;CF=10.8 kHz;Th= 10 dB SPL; SR=0   
