Modulating Frequency (Hz)     Sync Coeffcient 

0.195918    0.362857 
259.813084    0.351562 
461.682243    0.351562 
592.056075    0.742188 
688.785047    0.417969 
764.485981    0.281250 
831.775701    0.300781 
886.448598    0.320312 
936.915888    0.269531 
974.766355    0.171875 
1008.411215    0.144531 


type: Cs;unit 88299-21;CF=24kHz;Th=10dB SPL;SR=5 spike/sec      
