# HSR ANF raster plot
0 0 0     15.100
0 0 0     19.280
0 0 0     42.380
0 0 0     62.840
0 1 1      5.160
0 1 1     16.180
0 1 1     18.760
0 1 1     24.300
0 1 1     39.380
0 1 1     58.660
0 1 1     66.000
0 1 1     71.400
0 2 2      4.220
0 2 2      9.480
0 2 2     57.340
0 3 3      2.340
0 3 3     18.680
0 5 5     40.180
0 5 5     57.700
0 5 5     66.100
0 6 6     22.680
0 6 6     35.600
0 6 6     43.440
0 7 7     17.020
0 7 7     39.680
0 7 7     42.240
0 7 7     70.020
0 7 7     79.000
0 8 8     22.720
0 8 8     26.920
0 8 8     45.700
0 8 8     66.420
0 9 9     36.660
0 9 9     54.360
0 9 9     66.820
0 10 10     19.360
0 10 10     71.100
0 11 11      4.680
0 11 11     56.420
0 11 11     69.620
0 12 12      1.680
0 12 12     22.040
0 12 12     40.540
0 12 12     74.380
0 13 13     14.600
0 13 13     18.900
0 13 13     43.300
0 13 13     47.960
0 13 13     62.800
0 14 14     21.380
0 14 14     52.920
0 14 14     78.600
0 15 15      9.640
0 15 15     60.180
0 15 15     79.180
0 16 16     30.960
0 16 16     37.140
0 17 17     59.300
0 18 18     20.740
0 19 19     75.640
1 0 20     14.460
1 0 20     41.020
1 0 20     68.120
1 1 21     36.140
1 1 21     47.120
1 1 21     53.620
1 1 21     72.680
1 2 22     17.700
1 2 22     31.840
1 2 22     46.180
1 3 23      7.460
1 3 23     44.040
1 4 24     57.320
1 4 24     62.400
1 4 24     68.400
1 5 25     19.400
1 5 25     62.340
1 5 25     69.800
1 6 26     18.200
1 6 26     76.480
1 7 27     11.460
1 7 27     19.700
1 7 27     24.100
1 7 27     70.900
1 8 28      9.780
1 8 28     12.260
1 8 28     30.540
1 8 28     66.800
1 9 29      8.760
1 9 29     22.220
1 10 30      3.400
1 10 30     11.420
1 10 30     29.840
1 11 31     33.260
1 11 31     41.400
1 11 31     54.580
1 12 32     25.700
1 12 32     29.940
1 12 32     67.140
1 13 33     14.380
1 13 33     39.460
1 13 33     60.180
1 13 33     78.920
1 14 34      4.580
1 14 34     40.460
1 14 34     66.880
1 15 35      6.560
1 15 35     38.940
1 15 35     44.680
1 15 35     60.340
1 15 35     76.740
1 16 36     38.680
1 16 36     59.580
1 16 36     63.800
1 17 37     11.300
1 17 37     32.920
1 17 37     58.660
1 18 38     12.100
1 18 38     25.400
1 18 38     47.500
1 19 39     11.080
1 19 39     38.680
2 0 40     40.740
2 0 40     67.240
2 1 41     10.500
2 1 41     19.480
2 1 41     65.640
2 2 42     11.860
2 2 42     53.880
2 2 42     65.740
2 3 43     13.640
2 3 43     30.280
2 3 43     31.900
2 4 44      9.620
2 4 44     13.860
2 4 44     44.320
2 4 44     51.760
2 4 44     64.380
2 4 44     66.520
2 5 45     29.000
2 5 45     52.420
2 5 45     67.960
2 6 46     19.800
2 6 46     53.480
2 7 47     11.400
2 7 47     24.100
2 8 48      1.660
2 8 48     68.020
2 9 49      5.920
2 9 49     34.640
2 9 49     49.540
2 9 49     57.000
2 9 49     68.680
2 10 50     19.160
2 10 50     25.540
2 10 50     75.620
2 10 50     78.320
2 11 51     37.620
2 11 51     52.680
2 11 51     63.800
2 11 51     77.340
2 12 52      5.680
2 12 52     48.260
2 13 53     30.080
2 13 53     66.440
2 14 54      5.660
2 14 54     40.700
2 14 54     42.720
2 15 55     16.320
2 15 55     28.460
2 15 55     66.840
2 16 56     23.400
2 16 56     61.920
2 17 57     15.100
2 17 57     47.520
2 17 57     53.660
2 18 58     44.300
2 18 58     76.380
2 19 59     29.660
2 19 59     30.740
2 19 59     56.920
3 0 60     27.200
3 0 60     51.920
3 0 60     66.000
3 1 61     20.680
3 1 61     23.400
3 1 61     39.640
3 2 62     14.340
3 3 63      4.280
3 3 63     23.840
3 3 63     41.880
3 4 64     33.980
3 4 64     41.500
3 4 64     45.140
3 5 65     20.420
3 5 65     45.560
3 6 66     32.360
3 6 66     67.400
3 7 67      9.120
3 7 67     54.260
3 7 67     55.720
3 7 67     65.120
3 7 67     71.700
3 8 68     36.220
3 8 68     42.640
3 8 68     56.260
3 8 68     65.400
3 9 69      3.140
3 9 69     16.360
3 10 70      7.100
3 10 70     59.340
3 10 70     66.320
3 11 71     12.400
3 11 71     38.640
3 11 71     66.820
3 12 72      4.580
3 12 72     12.300
3 12 72     66.820
3 13 73      0.940
3 13 73      3.660
3 13 73      9.180
3 13 73     63.340
3 13 73     65.500
3 14 74     26.300
3 14 74     78.880
3 15 75     72.240
3 16 76     31.040
3 16 76     73.640
3 17 77      6.840
3 17 77     12.440
3 17 77     39.220
3 17 77     61.340
3 17 77     76.040
3 18 78      2.900
3 18 78     50.720
3 18 78     78.760
3 19 79     15.600
3 19 79     58.160
3 19 79     78.540
4 0 80     12.060
4 0 80     30.980
4 0 80     49.500
4 2 82      4.260
4 2 82      7.780
4 2 82     19.680
4 2 82     31.140
4 2 82     52.980
4 3 83     34.380
4 3 83     56.560
4 3 83     73.160
4 3 83     77.340
4 4 84      1.360
4 4 84     15.660
4 4 84     17.780
4 5 85     19.100
4 5 85     60.100
4 5 85     76.180
4 6 86     44.840
4 7 87      2.020
4 7 87      7.100
4 7 87     63.620
4 8 88     54.400
4 9 89     41.780
4 9 89     44.460
4 9 89     69.720
4 10 90     18.300
4 10 90     45.180
4 11 91     71.500
4 12 92     42.200
4 13 93     37.460
4 13 93     55.180
4 13 93     57.260
4 13 93     62.540
4 14 94      3.620
4 14 94     22.600
4 14 94     50.960
4 14 94     71.360
4 15 95     19.220
4 15 95     27.820
4 15 95     62.680
4 16 96     15.320
4 16 96     56.900
4 17 97     11.220
4 17 97     21.640
4 17 97     34.280
4 18 98     18.980
4 18 98     45.620
4 18 98     74.020
4 19 99      4.040
4 19 99     12.640
4 19 99     24.000
4 19 99     44.280
5 0 100     28.240
5 0 100     46.960
5 0 100     54.620
5 0 100     66.420
5 1 101     11.620
5 1 101     42.800
5 1 101     74.440
5 2 102     43.880
5 3 103     43.240
5 3 103     73.740
5 4 104      9.560
5 4 104     23.920
5 4 104     25.580
5 4 104     40.000
5 4 104     53.040
5 5 105      7.160
5 6 106      0.620
5 6 106     10.860
5 6 106     31.340
5 6 106     36.680
5 6 106     65.620
5 7 107     58.660
5 7 107     64.040
5 8 108     16.320
5 8 108     30.400
5 8 108     35.500
5 8 108     56.760
5 8 108     65.120
5 9 109     19.400
5 9 109     60.700
5 10 110     21.500
5 10 110     66.540
5 10 110     74.220
5 11 111      0.520
5 11 111     17.640
5 11 111     27.080
5 11 111     37.280
5 12 112     17.180
5 13 113     14.060
5 13 113     47.240
5 13 113     75.240
5 14 114     21.380
5 14 114     48.540
5 15 115     39.800
5 15 115     47.080
5 15 115     55.960
5 16 116     11.880
5 16 116     46.680
5 16 116     74.920
5 17 117     55.320
5 17 117     76.320
5 18 118      4.900
5 18 118     53.900
5 18 118     79.700
5 19 119      1.060
5 19 119     43.380
5 19 119     65.560
5 19 119     74.860
6 0 120     13.700
6 0 120     35.040
6 1 121      1.580
6 1 121     67.900
6 2 122     14.560
6 2 122     44.020
6 2 122     56.360
6 2 122     63.960
6 2 122     70.220
6 3 123     14.560
6 3 123     37.520
6 3 123     52.820
6 4 124     26.060
6 4 124     46.560
6 4 124     72.780
6 5 125     21.980
6 5 125     31.820
6 5 125     36.240
6 5 125     57.660
6 5 125     62.040
6 6 126      9.040
6 6 126     28.540
6 6 126     45.920
6 7 127      9.920
6 7 127     60.860
6 8 128      1.360
6 8 128      9.960
6 8 128     34.480
6 9 129     27.460
6 9 129     41.980
6 9 129     78.860
6 10 130      2.100
6 10 130     40.920
6 10 130     61.420
6 11 131     25.740
6 11 131     55.080
6 11 131     62.360
6 11 131     78.360
6 12 132     21.580
6 13 133     19.280
6 13 133     27.620
6 13 133     34.180
6 13 133     61.500
6 13 133     69.140
6 14 134      0.760
6 14 134     19.900
6 14 134     39.660
6 15 135      8.540
6 15 135     15.940
6 15 135     19.600
6 15 135     24.740
6 15 135     37.120
6 15 135     54.520
6 15 135     78.400
6 16 136     12.420
6 16 136     19.480
6 16 136     28.660
6 16 136     36.360
6 16 136     76.080
6 17 137     31.120
6 18 138     73.500
6 18 138     79.120
6 19 139      9.900
6 19 139     60.280
7 0 140     33.980
7 0 140     68.320
7 1 141     50.100
7 1 141     54.420
7 2 142      5.320
7 2 142     12.880
7 2 142     55.820
7 2 142     66.900
7 3 143     73.500
7 4 144      1.100
7 4 144     36.160
7 4 144     51.180
7 5 145     13.940
7 5 145     48.520
7 5 145     79.100
7 6 146      2.000
7 6 146     50.720
7 6 146     66.340
7 7 147      6.580
7 7 147     19.500
7 7 147     22.460
7 7 147     72.080
7 8 148     18.420
7 8 148     20.580
7 8 148     67.560
7 8 148     75.400
7 9 149     25.960
7 9 149     29.720
7 10 150     23.620
7 10 150     66.940
7 10 150     75.820
7 11 151     13.460
7 11 151     58.260
7 11 151     69.360
7 11 151     79.480
7 12 152     24.100
7 12 152     43.420
7 12 152     46.120
7 12 152     55.360
7 12 152     64.300
7 13 153      5.080
7 13 153     11.180
7 13 153     27.820
7 13 153     42.660
7 14 154     21.900
7 15 155      3.740
7 15 155     53.000
7 15 155     65.400
7 15 155     72.760
7 16 156     31.100
7 17 157      5.480
7 17 157     35.680
7 17 157     47.560
7 17 157     63.400
7 18 158     26.480
7 18 158     43.960
7 19 159     24.260
7 19 159     70.160
7 19 159     78.180
8 0 160     12.560
8 0 160     21.800
8 0 160     35.980
8 0 160     61.100
8 0 160     67.500
8 0 160     78.160
8 1 161      9.580
8 1 161     72.380
8 2 162     21.620
8 2 162     68.080
8 3 163      7.520
8 3 163     35.200
8 3 163     47.700
8 3 163     50.420
8 4 164     23.860
8 4 164     32.900
8 5 165      2.060
8 5 165      7.080
8 5 165     56.500
8 6 166      0.460
8 6 166     13.480
8 6 166     30.140
