0	0.000
2.5	0.000
5	0.000
7.5	0.000
10	0.000
12.5	0.000
15	0.000
17.5	0.000
20	0.000
22.5	0.040
25	0.000
27.5	0.040
30	0.160
32.5	0.480
35	0.360
37.5	0.680
40	1.040
42.5	1.240
45	2.080
47.5	1.560
50	1.800
52.5	2.400
55	2.320
57.5	2.120
60	1.880
62.5	2.240
65	2.040
67.5	2.040
70	2.360
72.5	2.000
75	1.280
77.5	1.520
80	1.600
82.5	1.240
85	1.840
87.5	1.280
90	1.000
