-15	2.5300	3.7273	0.1000
-10	2.1400	3.7282	0.1000
-5	4.2800	3.7325	0.1000
0	6.2400	3.7534	0.1000
5	7.8000	3.8564	0.1010
10	12.1000	4.3982	0.1060
15	10.7300	7.3935	0.1310
20	13.4700	15.2000	0.2730
25	17.9600	23.0667	1.0021
30	27.9200	30.5022	3.3107
35	30.2700	35.1074	8.4570
40	32.8100	38.0185	16.8889
45	39.8400	41.0539	27.8960
50	51.7500	44.8444	40.4705
55	57.4200	49.5598	53.9126
60	58.0000	55.2298	67.7642
65	58.7900	61.7584	81.6010
70	62.1100	68.9151	94.9932
75	68.7500	76.3440	107.4863
80	82.6200	83.6082	118.6465
85	92.3800	90.2748	128.1313
90	100.7800	96.0259	135.8024
