# TStellate_CT2 Optimisation
# Monday 5 November  23:11:24 EST 2012
 
#param.w.x[lsr][ts] = 0.00362462	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.002329	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000116176	[1e-07,0.3]
#param.w.x[tv][ts] = 0.0004617	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000503486	[1e-07,0.3]
#param.ts_gleak = 0.000473644	[5e-05,0.005]
#param.ts_erev = -64.985	[0.03,0.08]
# final error=20.061806
# Time	Error Vec	 Reference Vec (mV)
-2.90	-60.650645	-58.839259
-2.80	-60.647360	-58.792988
-2.70	-60.644075	-58.753313
-2.60	-60.640790	-58.716961
-2.50	-60.637506	-58.678307
-2.40	-60.634221	-58.630664
-2.30	-60.630936	-58.563240
-2.20	-60.627651	-58.471118
-2.10	-60.624366	-58.349471
-2.00	-60.621081	-58.175036
-1.90	-60.617796	-57.866593
-1.80	-60.614511	-57.640719
-1.70	-60.611226	-57.532673
-1.60	-60.607941	-57.639491
-1.50	-60.602450	-57.678355
-1.40	-60.595877	-57.448698
-1.30	-60.589305	-57.431936
-1.20	-60.582732	-57.320108
-1.10	-60.576159	-57.324066
-1.00	-60.569586	-57.461585
-0.90	-60.563014	-57.555764
-0.80	-60.556441	-57.841604
-0.70	-60.549868	-58.038108
-0.60	-60.543295	-58.092282
-0.50	-60.536723	-57.980865
-0.40	-60.530150	-57.727584
-0.30	-60.523577	-57.681125
-0.20	-60.517004	-57.694097
-0.10	-60.510431	-57.894383
0.00	-60.503859	-58.017523
0.10	-60.477012	-58.074836
0.20	-60.437401	-58.076875
0.30	-60.397790	-58.052777
0.40	-60.358179	-58.023806
0.50	-60.318568	-57.998749
0.60	-60.278957	-57.980294
0.70	-60.239346	-57.968527
0.80	-60.199735	-57.964075
0.90	-60.160124	-57.965617
1.00	-60.120514	-57.971738
1.10	-60.080903	-57.982865
1.20	-60.041292	-57.998805
1.30	-60.001681	-58.017784
1.40	-59.962070	-58.033358
1.50	-59.922459	-58.044197
1.60	-59.882848	-58.054954
1.70	-59.754192	-58.059518
1.80	-59.572571	-58.050435
1.90	-59.390949	-58.029241
2.00	-59.209328	-58.000329
2.10	-59.027706	-57.966002
2.20	-58.802370	-57.928773
2.30	-58.510663	-57.880800
2.40	-58.218956	-57.815657
2.50	-57.927250	-57.735096
2.60	-57.635543	-57.642744
2.70	-57.343837	-57.538128
2.80	-57.052130	-57.403249
2.90	-55.588737	-57.192645
3.00	-53.440009	-56.752192
3.10	-52.935220	-56.436605
3.20	-52.430431	-56.385523
3.30	-51.925643	-56.731522
3.40	-51.623092	-57.148480
3.50	-51.357883	-57.388530
3.60	-51.092673	-57.454805
3.70	-50.827464	-57.363661
3.80	-50.562254	-57.046102
3.90	-46.487309	-56.975168
4.00	-42.814877	-56.858069
4.10	-40.228731	-56.929698
4.20	-37.755161	-56.815934
4.30	-39.872363	-56.864306
4.40	-41.989566	-56.905138
4.50	-44.122800	-57.099993
4.60	-46.270169	-57.105198
4.70	-48.417537	-56.916791
4.80	-50.564906	-56.829343
4.90	-52.712274	-56.611413
5.00	-53.644519	-56.825114
5.10	-53.447363	-56.942352
5.20	-53.250207	-57.259336
5.30	-53.053050	-57.382813
5.40	-52.855894	-57.245580
5.50	-52.658737	-57.294815
5.60	-52.461581	-57.308445
5.70	-52.166489	-57.575951
5.80	-51.794189	-57.731861
5.90	-51.421890	-57.693255
6.00	-51.049591	-57.589488
6.10	-50.677292	-57.625526
6.20	-48.747085	-57.819901
6.30	-44.961797	-58.072412
6.40	-41.609471	-58.233973
6.50	-42.829191	-58.303595
6.60	-44.048911	-58.309642
6.70	-45.268632	-58.263487
6.80	-46.488352	-58.137052
6.90	-47.708073	-57.866201
7.00	-48.927793	-57.736643
7.10	-48.741211	-57.639222
7.20	-47.903060	-57.902347
7.30	-47.064908	-58.226111
7.40	-46.226757	-58.584649
7.50	-45.388606	-58.810871
7.60	-44.550455	-58.932462
7.70	-44.201989	-58.986262
7.80	-45.237141	-59.009950
7.90	-46.272292	-59.023716
8.00	-47.307444	-59.031669
8.10	-48.342595	-59.035705
8.20	-49.377747	-59.035943
8.30	-50.246749	-59.036497
8.40	-47.328584	-59.040995
8.50	-44.410419	-59.045322
8.60	-43.317536	-59.046255
8.70	-44.248713	-59.043465
8.80	-45.179891	-59.036346
8.90	-46.111069	-59.022493
9.00	-47.042247	-58.998539
9.10	-47.973425	-58.967417
9.20	-48.670911	-58.935149
