91 2
-9.59992887624  -45.1578947368
-6.22155049787  -45.1578947368
-2.67558677098  -45.2631578947
0.0324502133713  -44.8421052632
2.07414651494  -43.6842105263
2.60757467994  -41.5789473684
2.66491820768  -37.0526315789
2.87517780939  -33.7894736842
3.66954125178  -24.4210526316
4.04960881935  -34.4210526316
4.07583570413  -45.6842105263
4.69683499289  -50
5.24093172119  -47.0526315789
6.14553698435  -42.3157894737
6.77764935989  -32.4210526316
7.39464793741  -37.0526315789
8.47839615932  -44.8421052632
8.79623044097  -46.4210526316
9.82041251778  -45.5789473684
10.4231863442  -38
10.9899537696  -33.2631578947
11.4300320057  -38.5263157895
12.2359530583  -41.5789473684
12.2719594595  -38.7368421053
13.0138691323  -46.8421052632
13.1721194879  -47.6842105263
13.8744665718  -45.5789473684
14.3056543385  -38.2105263158
14.7844061166  -40.4210526316
15.3565078236  -35.2631578947
15.9695056899  -40.2105263158
16.9310099573  -44.3157894737
17.6000177809  -44.8421052632
18.3423719772  -39.5789473684
18.9980440967  -41.1578947368
19.8973150782  -36.8421052632
20.5129800853  -41.5789473684
21.1593172119  -43.8947368421
21.676742532  -43.0526315789
22.5560099573  -40.3157894737
23.0454302987  -41.6842105263
23.9433677098  -37.4736842105
25.4049608819  -42.1052631579
26.4371443812  -40.6315789474
27.0821479374  -43.0526315789
27.477329303  -38.5263157895
28.6344238976  -40.5263157895
29.4723506401  -41.0526315789
29.6706081081  -38.7368421053
30.4471906117  -44.1052631579
30.9766180654  -42.3157894737
31.8665540541  -38.7368421053
32.3559743954  -40.1052631579
32.8894025605  -38
33.7019914651  -40.5263157895
34.3469950213  -42.9473684211
34.8670874822  -41.8947368421
35.5694345661  -39.7894736842
36.060188478  -41.0526315789
36.9234530583  -39.5789473684
37.2399537696  -41.2631578947
38.2387980085  -42.4210526316
39.1607396871  -36.3157894737
40.1315789474  -39.6842105263
41.0917496444  -43.8947368421
41.8407716927  -38.1052631579
42.3235241821  -40
43.5059566145  -40
43.8237908962  -41.5789473684
44.5301386913  -39.1578947368
45.3120554765  -44.1052631579
45.8721550498  -39.8947368421
46.5518314367  -39.5789473684
47.2355085349  -38.9473684211
47.8858463727  -40.9473684211
48.3859352774  -41.4736842105
49.0176031294  -44.9473684211
49.7212837838  -42.7368421053
50.4249644381  -40.5263157895
50.8957147937  -43.3684210526
51.218883357  -44.5263157895
52.9107396871  -44.3157894737
54.420341394  -45.1578947368
56.4393669986  -45.7894736842
59.6434921764  -46.2105263158
62.5111130868  -46.5263157895
66.3962482219  -46.5263157895
72.1448257468  -46.1052631579
78.902916074  -46
86.3406827881  -45.5789473684
89.7270625889  -44.9473684211
