1.69897	181.821	10.9067	5.3959	140.619	227.459	100.511
 2.17609	271.396	7.16482	0.632587	149.199	214.791	94.6646
 2.39794	281.536	1.46652	0.390805	111.967	106.548	127.656
 2.54407	274.322	3.37918	0.417616	55.1316	129.663	92.3369
 2.65321	138.716	12.9737	1.29263	35.8274	79.8501	70.6661
 2.74036	127.79	1.07529	0.940064	42.06	58.7391	38.4316
 2.81291	66.2208	1.29603	1.00156	14.6975	26.6483	51.1472
 2.87506	38.941	2.69094	1.88585	14.6976	36.7097	33.5977
 2.92942	24.8638	0.386286	0.378771	8.01791	22.4772	50.0668
 2.97772	34.0246	3.65636	0.125995	9.41923	6.991	26.5524
 3.30103	0.200263	1.99476	0.180546	0.494144	0.870287	9.16153
 
